trade_date,code,company_name,data_status,reason,latest_source_date,close,prior_20d_high,volume,prior_20d_avg_volume,volume_multiple,signal,source
2026-09-18,1766,東建コーポレーション,VERIFIED,,2026-09-18,13300.0,13920.0,30400.0,17385.0,1.7486338797814207,False,https://query1.finance.yahoo.com/v8/finance/chart/1766.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
2026-09-18,1780,ヤマウラ,VERIFIED,,2026-09-18,1495.0,1518.0,23300.0,26850.0,0.8677839851024208,False,https://query1.finance.yahoo.com/v8/finance/chart/1780.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
2026-09-18,1786,オリエンタル白石,VERIFIED,,2026-09-18,356.0,367.0,425400.0,460810.0,0.9231570495431957,False,https://query1.finance.yahoo.com/v8/finance/chart/1786.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
2026-09-18,1801,大成建設,VERIFIED,,2026-09-18,12620.0,13390.0,1054000.0,748335.0,1.408460114788163,False,https://query1.finance.yahoo.com/v8/finance/chart/1801.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
2026-09-18,1802,大林組,VERIFIED,,2026-09-18,3083.0,3140.0,3823900.0,2417225.0,1.5819379660561181,False,https://query1.finance.yahoo.com/v8/finance/chart/1802.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
2026-09-18,1803,清水建設,VERIFIED,,2026-09-18,2358.0,2538.0,4011100.0,3108020.0,1.2905644107824275,False,https://query1.finance.yahoo.com/v8/finance/chart/1803.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
2026-09-18,1808,長谷工コーポレーション,VERIFIED,,2026-09-18,2733.0,2963.0,1332100.0,858010.0,1.5525460076222888,False,https://query1.finance.yahoo.com/v8/finance/chart/1808.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
2026-09-18,1812,鹿島建設,VERIFIED,,2026-09-18,4979.0,5232.0,2832700.0,1994770.0,1.4200634659634945,False,https://query1.finance.yahoo.com/v8/finance/chart/1812.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
2026-09-18,1813,不動テトラ,VERIFIED,,2026-09-18,3055.0,3055.0,127000.0,61055.0,2.080091720579805,False,https://query1.finance.yahoo.com/v8/finance/chart/1813.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
2026-09-18,1814,大末建設,VERIFIED,,2026-09-18,3635.0,3735.0,55300.0,62150.0,0.8897827835880934,False,https://query1.finance.yahoo.com/v8/finance/chart/1814.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
2026-09-18,1815,鉄建建設,VERIFIED,,2026-09-18,4525.0,4615.0,68300.0,75050.0,0.9100599600266489,False,https://query1.finance.yahoo.com/v8/finance/chart/1815.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
2026-09-18,1820,西松建設,VERIFIED,,2026-09-18,5685.0,5751.0,112200.0,120815.0,0.9286926292265033,False,https://query1.finance.yahoo.com/v8/finance/chart/1820.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
2026-09-18,1833,奥村組,VERIFIED,,2026-09-18,5770.0,5910.0,192200.0,131760.0,1.4587128111718275,False,https://query1.finance.yahoo.com/v8/finance/chart/1833.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
2026-09-18,1835,東鉄工業,VERIFIED,,2026-09-18,3960.0,4055.0,112700.0,64270.0,1.7535397541621285,False,https://query1.finance.yahoo.com/v8/finance/chart/1835.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
