index_id,date,open,high,low,close,source,fetched_at
nikkei225,2023-01-04,25716.86,25834.93,25840.68,25661.89,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2023-01-05,25820.80,25825.50,25947.10,25750.46,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2023-01-06,25973.85,25740.08,26034.06,25719.61,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2023-01-10,26175.56,26176.61,26316.66,26132.80,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2023-01-11,26446.00,26362.21,26479.99,26332.05,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2023-01-12,26449.82,26524.94,26547.61,26381.93,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2023-01-13,26119.52,26391.78,26409.21,26090.84,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2023-01-16,25822.32,25836.67,25938.04,25748.10,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2023-01-17,26138.68,25915.51,26198.69,25895.30,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2023-01-18,26791.12,26251.34,26816.68,26211.84,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2023-01-19,26405.23,26541.08,26592.87,26368.97,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2023-01-20,26553.53,26346.69,26553.53,26320.96,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2023-01-23,26906.04,26880.21,26938.28,26788.76,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2023-01-24,27299.19,27150.43,27381.00,27150.43,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2023-01-25,27395.01,27175.88,27473.90,27175.88,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2023-01-26,27362.75,27444.64,27502.15,27284.08,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2023-01-27,27382.56,27428.41,27452.67,27326.91,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2023-01-30,27433.40,27384.77,27486.42,27337.25,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2023-01-31,27327.11,27458.56,27494.17,27302.22,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2023-02-01,27346.88,27483.41,27547.67,27322.79,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2023-02-02,27402.05,27453.67,27472.44,27338.43,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
