code,company_name,ticker_tse
2791,大黒天物産,2791.T
2792,ハニーズホールディングス,2792.T
2801,キッコーマン,2801.T
2802,味の素,2802.T
2804,ブルドックソース,2804.T
2809,キユーピー,2809.T
2810,ハウス食品グループ本社,2810.T
2811,カゴメ,2811.T
2815,アリアケジャパン,2815.T
285A,キオクシアホールディングス,285A.T
2871,ニチレイ,2871.T
2874,横浜冷凍,2874.T
2875,東洋水産,2875.T
2882,イートアンドホールディングス,2882.T
2884,ヨシムラ・フード・ホールディングス,2884.T
2897,日清食品ホールディングス,2897.T
2908,フジッコ,2908.T
2910,ロック・フィールド,2910.T
2914,日本たばこ産業,2914.T
2915,ケンコーマヨネーズ,2915.T
2918,わらべや日洋ホールディングス,2918.T
2922,なとり,2922.T
2929,ファーマフーズ,2929.T
2930,北の達人コーポレーション,2930.T
2931,ユーグレナ,2931.T
2933,紀文食品,2933.T
2935,ピックルスホールディングス,2935.T
2975,スター・マイカ・ホールディングス,2975.T
2980,ＳＲＥホールディングス,2980.T
2982,ＡＤワークスグループ,2982.T
3002,グンゼ,3002.T
3003,ヒューリック,3003.T
3028,アルペン,3028.T
3031,ラクーンホールディングス,3031.T
3034,クオールホールディングス,3034.T
3036,アルコニックス,3036.T
3038,神戸物産,3038.T
3040,ソリトンシステムズ,3040.T
3046,ジンズホールディングス,3046.T
3048,ビックカメラ,3048.T
3050,ＤＣＭホールディングス,3050.T
3064,ＭｏｎｏｔａＲＯ,3064.T
3076,あい　ホールディングス,3076.T
3086,Ｊ．フロント　リテイリング,3086.T
3087,ドトール・日レスホールディングス,3087.T
3088,マツキヨココカラ＆カンパニー,3088.T
3091,ブロンコビリー,3091.T
3092,ＺＯＺＯ,3092.T
3093,トレジャー・ファクトリー,3093.T
3097,物語コーポレーション,3097.T
3099,三越伊勢丹ホールディングス,3099.T
3101,東洋紡,3101.T
3104,富士紡ホールディングス,3104.T
3105,日清紡ホールディングス,3105.T
3106,倉敷紡績,3106.T
3107,ダイワボウホールディングス,3107.T
3109,シキボウ,3109.T
3110,日東紡績,3110.T
3116,トヨタ紡織,3116.T
3132,マクニカホールディングス,3132.T
3139,ラクト・ジャパン,3139.T
3148,クリエイトＳＤホールディングス,3148.T
3150,グリムス,3150.T
3151,バイタルケーエスケー・ホールディングス,3151.T
3153,八洲電機,3153.T
3154,メディアスホールディングス,3154.T
3156,レスター,3156.T
3167,ＴＯＫＡＩホールディングス,3167.T
3176,三洋貿易,3176.T
3179,シュッピン,3179.T
3180,ビューティガレージ,3180.T
3182,オイシックス,3182.T
3183,ウイン・パートナーズ,3183.T
3186,ネクステージ,3186.T
3191,ジョイフル本田,3191.T
3193,エターナルホスピタリティグループ,3193.T
3196,ホットランドホールディングス,3196.T
3197,すかいらーくホールディングス,3197.T
3199,綿半ホールディングス,3199.T
3201,日本毛織,3201.T
3221,ヨシックスホールディングス,3221.T
3231,野村不動産ホールディングス,3231.T
3232,三重交通グループホールディングス,3232.T
3245,ディア・ライフ,3245.T
3252,地主,3252.T
3276,ＪＰＭＣ,3276.T
3284,フージャースホールディングス,3284.T
3288,オープンハウスグループ,3288.T
3289,東急不動産ホールディングス,3289.T
3291,飯田グループホールディングス,3291.T
3302,帝国繊維,3302.T
3315,日本コークス工業,3315.T
3333,あさひ,3333.T
3349,コスモス薬品,3349.T
3360,シップヘルスケアホールディングス,3360.T
3371,ソフトクリエイトホールディングス,3371.T
3382,セブン＆アイ・ホールディングス,3382.T
3387,クリエイト・レストランツ・ホールディングス,3387.T
3388,明治電機工業,3388.T
3391,ツルハホールディングス,3391.T
3393,スターティアホールディングス,3393.T
3395,サンマルクホールディングス,3395.T
3397,トリドールホールディングス,3397.T
3401,帝人,3401.T
3402,東レ,3402.T
3405,クラレ,3405.T
3407,旭化成,3407.T
3415,ＴＯＫＹＯ　ＢＡＳＥ,3415.T
3431,宮地エンジニアリンググループ,3431.T
3433,トーカロ,3433.T
3436,ＳＵＭＣＯ,3436.T
3443,川田テクノロジーズ,3443.T
3445,ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,3445.T
3457,Ａｎｄ　Ｄｏホールディングス,3457.T
3465,ケイアイスター不動産,3465.T
3475,グッドコムアセット,3475.T
3480,ジェイ・エス・ビー,3480.T
3482,ロードスターキャピタル,3482.T
3486,グローバル・リンク・マネジメント,3486.T
3496,アズーム,3496.T
3498,霞ヶ関キャピタル,3498.T
3501,ＳＵＭＩＮＯＥ,3501.T
3539,ＪＭホールディングス,3539.T
3543,コメダホールディングス,3543.T
3548,バロックジャパンリミテッド,3548.T
3561,力の源ホールディングス,3561.T
3563,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,3563.T
3569,セーレン,3569.T
3580,小松マテーレ,3580.T
3591,ワコールホールディングス,3591.T
3608,ＴＳＩホールディングス,3608.T
3612,ワールド,3612.T
3626,ＴＩＳＩ,3626.T
3632,グリーホールディングス,3632.T
3635,コーエーテクモホールディングス,3635.T
3636,三菱総合研究所,3636.T
3649,ファインデックス,3649.T
3656,ＫＬａｂ,3656.T
3657,ポールトゥウィンホールディングス,3657.T
3659,ネクソン,3659.T
3660,アイスタイル,3660.T
3661,エムアップホールディングス,3661.T
3662,エイチームホールディングス,3662.T
3663,セルシス,3663.T
3665,エニグモ,3665.T
3668,コロプラ,3668.T
3673,ブロードリーフ,3673.T
3676,デジタルハーツホールディングス,3676.T
3678,メディアドゥ,3678.T
3679,じげん,3679.T
3687,フィックスターズ,3687.T
368A,北里,368A.T
3694,オプティム,3694.T
3696,セレス,3696.T
3697,ＳＨＩＦＴ,3697.T
3708,特種東海製紙,3708.T
3741,セック,3741.T
3762,テクマトリックス,3762.T
3763,プロシップ,3763.T
3765,ガンホー・オンライン・エンターテイメント,3765.T
3769,ＧＭＯペイメントゲートウェイ,3769.T
3771,システムリサーチ,3771.T
3774,インターネットイニシアティブ,3774.T
3778,さくらインターネット,3778.T
3788,ＧＭＯグローバルサイン・ホールディングス,3788.T
3817,ＳＲＡホールディングス,3817.T
3834,朝日ネット,3834.T
3835,ｅＢＡＳＥ,3835.T
3836,アバントグループ,3836.T
3837,アドソル日進,3837.T
3843,フリービット,3843.T
3844,コムチュア,3844.T
3853,アステリア,3853.T
3854,アイル,3854.T
3861,王子ホールディングス,3861.T
3863,日本製紙,3863.T
3864,三菱製紙,3864.T
3865,北越コーポレーション,3865.T
3877,中越パルプ工業,3877.T
3880,大王製紙,3880.T
3901,マークラインズ,3901.T
3903,ｇｕｍｉ,3903.T
3915,テラスカイ,3915.T
3916,デジタル・インフォメーション・テクノロジー,3916.T
3921,ネオジャパン,3921.T
3922,ＰＲ　ＴＩＭＥＳ,3922.T
3923,ラクス,3923.T
3925,ダブルスタンダード,3925.T
3932,アカツキ,3932.T
3939,カナミックネットワーク,3939.T
3941,レンゴー,3941.T
3946,トーモク,3946.T
3950,ザ・パック,3950.T
3962,チェンジホールディングス,3962.T
3963,シンクロ・フード,3963.T
3964,オークネット,3964.T
3968,セグエグループ,3968.T
3983,オロ,3983.T
3984,ユーザーローカル,3984.T
3992,ニーズウェル,3992.T
3993,ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇｙ,3993.T
3994,マネーフォワード,3994.T
4004,レゾナック・ホールディングス,4004.T
4005,住友化学,4005.T
4008,住友精化,4008.T
4021,日産化学,4021.T
4022,ラサ工業,4022.T
4023,クレハ,4023.T
4025,多木化学,4025.T
4027,テイカ,4027.T
4028,石原産業,4028.T
4041,日本曹達,4041.T
4042,東ソー,4042.T
4043,トクヤマ,4043.T
4044,セントラル硝子,4044.T
4045,東亞合成,4045.T
4046,大阪ソーダ,4046.T
4047,関東電化工業,4047.T
4051,ＧＭＯフィナンシャルゲート,4051.T
4053,Ｓｕｎ　Ａｓｔｅｒｉｓｋ,4053.T
4061,デンカ,4061.T
4062,イビデン,4062.T
4063,信越化学工業,4063.T
4064,日本カーバイド工業,4064.T
4071,プラスアルファ・コンサルティング,4071.T
4072,電算システムホールディングス,4072.T
4078,堺化学工業,4078.T
4082,第一稀元素化学工業,4082.T
4088,エア・ウォーター,4088.T
4091,日本酸素ホールディングス,4091.T
4092,日本化学工業,4092.T
4095,日本パーカライジング,4095.T
4097,高圧ガス工業,4097.T
4099,四国化成ホールディングス,4099.T
409A,オリオンビール,409A.T
4109,ステラ　ケミファ,4109.T
4112,保土谷化学工業,4112.T
4114,日本触媒,4114.T
4116,大日精化工業,4116.T
4118,カネカ,4118.T
4151,協和キリン,4151.T
417A,ブルーゾーンホールディングス,417A.T
4180,Ａｐｐｉｅｒ　Ｇｒｏｕｐ,4180.T
4182,三菱瓦斯化学,4182.T
4183,三井化学,4183.T
4186,東京応化工業,4186.T
4187,大阪有機化学工業,4187.T
4188,三菱ケミカルグループ,4188.T
4189,ＫＨネオケム,4189.T
4194,ビジョナル,4194.T
4202,ダイセル,4202.T
4203,住友ベークライト,4203.T
4204,積水化学工業,4204.T
4205,日本ゼオン,4205.T
4206,アイカ工業,4206.T
4208,ＵＢＥ,4208.T
4212,積水樹脂,4212.T
4216,旭有機材,4216.T
4218,ニチバン,4218.T
4220,リケンテクノス,4220.T
4221,大倉工業,4221.T
4228,積水化成品工業,4228.T
4229,群栄化学工業,4229.T
4246,ダイキョーニシカワ,4246.T
4249,森六,4249.T
4251,恵和,4251.T
4272,日本化薬,4272.T
4275,カーリット,4275.T
4290,プレステージ・インターナショナル,4290.T
429A,テクセンドフォトマスク,429A.T
4301,アミューズ,4301.T
4307,野村総合研究所,4307.T
